ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
9CE220A8-ED84-B002-5F1F-8EFBD5333C10,66,Logical,Logical,,
3107B332-6A12-E1B2-DAD9-9C64B0FF4103,67,Relational_1,Relational,Oracle Database 11g,
